Params: 0-nm= 1 , 1-n= 1 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.001 secs (0.u,0.s) (success)
Params: 0-nm= 2 , 1-n= 1 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.006 secs (0.003u,0.003s) (success)
Params: 0-nm= 2 , 1-n= 2 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.003 secs (0.003u,0.s) (success)
Params: 0-nm= 3 , 1-n= 1 , 2-m= 3
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.014 secs (0.011u,0.003s) (success)
Params: 0-nm= 3 , 1-n= 3 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.01 secs (0.006u,0.003s) (success)
Params: 0-nm= 4 , 1-n= 2 , 2-m= 2
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.018 secs (0.014u,0.004s) (success)
Params: 0-nm= 4 , 1-n= 4 , 2-m= 1
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.019 secs (0.019u,0.s) (success)
Params: 0-nm= 4 , 1-n= 1 , 2-m= 4
Tactic call rewrite_strat(bottomup,bottomup)-regression-exponential ran for 0.031 secs (0.031u,0.s) (success)
